ID,Noms
ArmandJeanVignerotDuPlessis,"Monsieur le Duc de Richelieu,le Duc de Richelieu,Duc de Richelieu,Monsieur le Duc"
ArnaudColomiez,ARNAUD COL0MIEZ
ArnoldTulleken,Tulkens
ArnolfoDiLapo,"Arnolfo Lapo,Arnolfe Lapo,Arnolpho"
Arrien,"Arrien,Arrian"
ArsinoeII,Arsinoe
Artaxerxes,"d'Artaxerces,Artaxertes,Artaxerces,Artaxerxes"
ArtaxerxesII,Artaxerce Mnémon
ArtaxerxesIII,autre Artaxerce apellé Ochus
ArtaxiasI,"ce Prince,Artaxes"
ArtemiseI,"Reine Artemise,Artemisia,Artemise"
ArtemisiaGentileschi,"Le Gentilesco,Gentileschi"
AscanioCondivi,Ascanio Condivi
Asclepiodore,"Asclepiodoro,Asclépiodore,Asclepiodore,Asclepidoro"
Asclepios,"Aesculape,Esculapio,Esculape"
AsiaNymphe,Nymphe Asie
Astaroth,Astarot
Astarte,Astarthon
Atalante,"Atalante,Atalente"
Atargatis,Atargate
Athenodore,"Athenodore,Athénodore"
AttaleII,Attalus
Attila,"Attilla,Attila"
AttiusPriscus,"Actius Priscus,Priscus"
AttonDeVerceil,Antoine de Verceil
AubinVouet,Aubin Vouët
Auguste,"Octavian Auguste,Cesare Augusto,Octavian Cesar,Cesar Auguste,Auguste Cesar,cet Empereur,Octavien,Octavian,Auguste,Augusto,Aguste"
AuluGelle,"Aule Gelle,Gellio"
AulusCorneliusCelsus,Celse
Aurelien,Aurelien
AurelioLuini,"Aurelio Lovini,Aurelio Lovino"
AureliusVictorAfer,Aurelius Vidor
Azarias,Azarias
Baal,Baal
Bacchus,"Dionisio,Bacchus,Bachus,Baccus,Bacco,Denis"
BacciDiBelforte,Roch. Zoppo
BaccioBaldini,Baccio Baldini
BaccioBandinelli,"Baccio
               Bandinelli,Baccio
               Baldini,Baccius Bandinelli,Baccio Bandinelli,BACCIO BANDINELLI,Baccio Bandinelle,Baccio Baldinelli,Baccio Baldini,Barthélemi,Bandinelle,Bandinelli,Baccio 1,Baccio"
BaldassareCastiglione,"Balthazar Castilioni,Baltazar Castiglione,Castiglione,Baldassare"
BaldassareTurini,Baltazar Turin de Pescia
BaldassarreCroce,Baldassarino da
BaldassarrePeruzzi,"Balthazar de Peruzzi Senoys,Baldassarre Petrucci,Balthasar, Pe trucci,Balthazar de Sienne,Baldassare Perruzzi,Baldessar Petruccio,Baldassarre Peruzzi,Baldassar Petrucci,Baldessar Peruzzi,Baldazar Petrucci,BALTHAZAR PERUZZI,Baltazar de Siéne,Balthazar Peruzzi,Baltazar Perruzy,Baldassare da,Baldassare,Balthasar,Balthazar,Petrucio,Baldasar,Baltasar,Petrucci"
BaldoCattani,"Signor Catanio,Baldo Cataneo,Baldo Catanio,Catanio,io"
BalthazarGerbier,BALTAZAR GERBIER.
BarnaDaSiena,BERNA DE SIENNE
Barnaba,Messer Barnaba
Baroccio,"Frederico Baroccio,Frederic Baroccio,Federic Baroccius,Federico Barocci,Federico Barozzi,Frederic Baroche,FREDERIC BAROCH,Federic Baroche,Campagnuolo,le Baroche,Le Baroche,Baroche,Barozzi"
BartholomaeusSpranger,"BARTHELEMI SPRANGER,Spranger"
BartolomeoAmmannati,Bartelemi
BartolomeoBellano,Vellano
BartolomeoCincani,"Bartelemi Montagne de Vicenze,Maître Bartelemi"
