xml_id	personne_qid	type	lieu_qid
MicheleDiMatteo	Q6836872	naissance	Q1891
GirolamoMassei	Q20735489	naissance	Q13373
GirolamoMassei	Q20735489	décès	Q13373
IsaacMajor	Q21708176	naissance	Q1794
IsaacMajor	Q21708176	décès	Q1741
ClaudeMaugis	Q95297348	naissance	Q132404
ClaudeMaugis	Q95297348	décès	Q90
GuidoMazenta	Q108057281	naissance	Q490
GuidoMazenta	Q108057281	décès	Q641
AntonelloDeMessine	Q5594	naissance	Q13666
AntonelloDeMessine	Q5594	décès	Q13666
MehmedII	Q34503	naissance	Q43387
MehmedII	Q34503	décès	Q206116
MichelIIAmorien	Q41640	naissance	Q174270
MichelIIAmorien	Q41640	décès	Q16869
MichelIRhangabe	Q41652	naissance	Q16869
MichelIRhangabe	Q41652	décès	Q579117
LeonX	Q49237	naissance	Q2044
LeonX	Q49237	décès	Q220
MoctezumaII	Q141791	naissance	Q13695
MoctezumaII	Q141791	décès	Q13695
PieIV	Q161983	naissance	Q490
PieIV	Q161983	décès	Q220
ArtaxerxesII	Q188472	décès	Q129072
MiltiadeLeJeune	Q210350	naissance	Q1524
MiltiadeLeJeune	Q210350	décès	Q1524
SimoneMartini	Q221043	naissance	Q2751
SimoneMartini	Q221043	décès	Q6397
FranciscoDeMelo	Q252902	naissance	Q625157
FranciscoDeMelo	Q252902	décès	Q2807
FerdinandIDeMedicis	Q297483	naissance	Q2044
FerdinandIDeMedicis	Q297483	décès	Q2044
PomponiusMela	Q297515	naissance	Q484552
PomponiusMela	Q297515	décès	Q220
Midas	Q308398	décès	Q542854
Michelozzo	Q309736	naissance	Q2044
Michelozzo	Q309736	décès	Q2044
QuintenMetsys	Q314275	naissance	Q118958
QuintenMetsys	Q314275	décès	Q12892
PierreMignard	Q360010	naissance	Q5489
PierreMignard	Q360010	décès	Q90
Menecmo	Q451566	naissance	Q4734309
Menecmo	Q451566	décès	Q615449
PierreBourdelot	Q463469	naissance	Q212420
PierreBourdelot	Q463469	décès	Q90
FrancescoMelzi	Q469379	naissance	Q490
FrancescoMelzi	Q469379	décès	Q42612
LippoMemmi	Q504963	naissance	Q2751
LippoMemmi	Q504963	décès	Q2751
ManiusValeriusMaximusCorvinusMessalla	Q715220	naissance	Q1747689
ManiusValeriusMaximusCorvinusMessalla	Q715220	décès	9eacde85dddf81ed9d94ee8b4031714e
Metagenes	Q862593	naissance	Q173527
MichielJanszVanMiereveld	Q864092	naissance	Q690
MichielJanszVanMiereveld	Q864092	décès	Q690
FransVanMieris	Q959236	naissance	Q43631
FransVanMieris	Q959236	décès	Q43631
GirolamoMercuriale	Q980560	naissance	Q13367
GirolamoMercuriale	Q980560	décès	Q13367
PierFrancescoMola	Q1192715	naissance	Q67738
PierFrancescoMola	Q1192715	décès	Q220
MethodiusI	Q1256661	naissance	Q13670
MethodiusI	Q1256661	décès	Q16869
ClaudeMellan	Q1274026	naissance	Q28520
ClaudeMellan	Q1274026	décès	Q90
LudovicoMazzolino	Q1351631	naissance	Q13362
LudovicoMazzolino	Q1351631	décès	Q13362
Micon	Q1387790	naissance	Q844930
