xml_id,wikidata_id,ulan_id
LeonardoParasole,Q16853931,500102199
BartolomeoPassarotti,Q809512,500026196
GiovanniFrancescoPenni,Q2327761,500021943
LucaPenni,Q3264994,500115489
ClaudePerrault,Q347699,500025641
FrancoisPerrier,Q82566,500012811
BaldassarrePeruzzi,Q177213,500030776
SimonePeterzano,Q983632,500031140
Petrarque,Q1401,500323951
PetrusChristus,Q312616,500032549
GiovanniDiPietro,Q1446925,500004244
RogerDePiles,Q941981,500101374
GermainPilon,Q554943,500029903
MarcoPino,Q979474,500000548
PaoloPino,Q3362655,500029714
Pinturicchio,Q5591,500023716
SebastianoDelPiombo,Q285423,500032554
Pisanello,Q311082,500027080
AndreaPisano,Q311031,500005015
BonannoPisano,Q892084,500010231
GiovanniPisano,Q314932,500017740
NicolaPisano,Q364413,500004862
FraPaolinoDaPistoia,Q3749183,500006999
BonifacioVeronese,Q744747,500014243
GiovanniBattistaPittoni,Q21540049,500020430
CornelisVanPoelenburgh,Q247183,500028794
AntonioPollaiuolo,Q318640,500013242
PieroPollaiuolo,Q707046,500011428
AmalteoPomponio,Q598960,500009735
JacquiotPonce,Q3396131,500020052
GiovanniDalPonte,Q2749321,500011206
PaulusPontius,Q1854445,500010060
Pontormo,Q207929,500008780
GiovanniGiacomoDellaPorta,Q3767365,500034341
GiuseppePorta,Q3108131,500025137
GuglielmoDellaPorta,Q1623328,500001864
FransPourbusI,Q1445472,500024001
PieterPourbus,Q981558,500011430
NicolasPoussin,Q41554,500005036
CharlesPoerson,Q2960032,500008664
AndreaPrevitali,Q1097187,500027274
FrancescoPrimaticcio,Q333366,500000613
CamilloProcaccini,Q366999,500013041
ErcoleProcacciniI,Q3056023,500031975
GiulioCesareProcaccini,Q1119589,500017888
PierrePuget,Q371979,500014694
Perugin,Q5827,500024544
ErasmusIIQuellinus,Q625228,500117086
JacopoDellaQuercia,Q314797,500026501
MarcantonioRaimondi,Q728375,500030773
AgostinoRamelli,Q395696,500059977
BartolommeoRamenghi,Q740807,500015783
GiovanniBattistaRamenghi,Q5880111,500118796
Pordenone,Q983352,500008696
EtienneRendu,Q41270999,500050506
JusepeDeRibera,Q297838,500008521
DanieleDaVolterra,Q540489,500115438
CarloRidolfi,Q776990,500013305
Rembrandt,Q5598,500011051
CesareRipa,Q721704,500236250
JacopoRipanda,Q3157648,500006751
JeanPierreRivalz,Q3169711,500085971
LucaDellaRobbia,Q194977,500009618
ErcoleDeRoberti,Q379521,500124891
GiovanniFrancescoRomanelli,Q2983846,500007779
PaoloRomano,Q2469612,500012570
Romanino,Q732766,500025221
GiulioRomano,Q215305,500115304
CristoforoRoncalli,Q1091136,500021303
JeanBaptisteRondelet,Q432786,500034381
PierreDeRonsard,Q49752,500291216
SalvatorRosa,Q359421,500011328
CosimoRosselli,Q29447,500028437
ProperziaDeRossi,Q293106,500082950
RossoFiorentino,Q312617,500014451
MartinoRota,Q1984287,500024754
HansIRottenhammer,Q559004,500010371
PeterPaulRubens,Q5599,500002921
GiovanniFrancescoRustici,Q720384,500026112
LorenzoSabatini,Q886785,500001193
AndreaSacchi,Q495008,500022759
Sadeler,Q12050805,500088597
HansSadeler,Q3161745,500020677
RaphaelSadeler,Q19569785,500026660
PieterSaenredam,Q433804,500115526
AndreaSalaino,Q954126,500115891
FrancescoSalviati,Q704594,500002852
OrazioSammacchini,Q2619534,500001257
JoachimVonSandrart,Q551624,500014974
AntonioDaSangalloIlVecchio,Q456861,500020334
BastianoDaSangallo,Q737782,500031757
FrancescoDaSangallo,Q2252502,500012142
GiulianoDaSangallo,Q312365,500023184
MicheleSanmicheli,Q459937,500004397
AndreaSansovino,Q495011,500013215
GiovanniSanti,Q860949,500007294
Raphael,Q5597,500023578
JacquesSarazin,Q1347676,500023241
AndreaDelSarto,Q5571,500025314
JacobISavery,Q658943,500003277
RoelandtSavery,Q142710,500121039
LouisSavot,Q25918160,500325544
VincenzoScamozzi,Q309733,500014946
CorneilleSchut,Q592396,500029273
ChristophSchwarz,Q322029,500030047
JanVanScorel,Q282708,500029872
DanielSeghers,Q928466,500020602
GerardSeghers,Q951884,500010809
GirolamoDaCarpi,Q2701846,500003965
OttavioSemino,Q3357741,500019381
VincenzoSeregni,Q4013515,500109556
SebastianoSerlio,Q452318,500023485
CesareDaSesto,Q1056977,500009037
AndreaSguazzella,Q3616052,500021596
GirolamoSiciolante,Q2296884,500027383
BarnaDaSiena,Q2447325,500004337
LucaSignorelli,Q7031,500003947
IsraelSilvestre,Q358612,500021067
FransSnyders,Q29231,500115396
JanSoens,Q3806935,500001542
CristoforoSolari,Q2408409,500014712
AndreaSolario,Q495110,500412762
RaffaelleSoprani,Q3417351,500090627
PieterClaeszSoutman,Q577842,500028313
BartolomeoSpani,Q12951031,500334506
BartholomaeusSpranger,Q447682,500018180
FrancescoSquarcione,Q380537,500002901
MassimoStanzione,Q982384,500015761
GherardoStarnina,Q2254774,500004586
HendrickIVanSteenwijck,Q709038,500014378
FrancoisStella,Q5493412,500017790
JacquesStella,Q605799,500116814
SimonStevin,Q23696,500085594
TobiasStimmer,Q677071,500012932
JanVanDerStraet,Q143595,500011304
Bramantino,Q7799,500005572
LambertSustris,Q1357759,500021563
IsaacClaeszSwanenburgh,Q984253,500016429
HermanVanSwanevelt,Q875164,500032980
InnocenzoTacconni,Q21455299,500010397
Paciotto,Q505652,500010113
VincenzoTamagni,Q524497,500032065
JacopoSansovino,Q202267,500019903
AntonioTempesta,Q605447,500027888
DavidTeniers,Q335022,500001443
DavidITeniers,Q622729,500021174
GerardTerborch,Q346808,500017511
GiovanniCesareTesta,Q21523221,500089922
PietroTesta,Q2155480,500015047
PhilippeThomassin,Q2087745,500059890
