xml:id,name_fr,name_it,continent,country,geo,wikidata
Sceaux,Sceaux,Sceaux,,France,48.778611111111 2.2905555555556,Q370498
Senlis,Senlis,Senlis,,France,49.207222222222 2.5866666666667,Q126668
Senonches,Senonches,Senonches,,France,48.561388888889 1.0305555555556,Q693987
Sens,Sens,Sens,,France,48.197222222222 3.2833333333333,Q212420
Sevran,Sevran,Sevran,,France,48.941388888889 2.5227777777778,Q387630
Strasbourg,Strasbourg,Strasburgo,,France,48.573333333333 7.7522222222222,Q6602
Sevres,Sèvres,Sèvres,,France,48.823055555556 2.2108333333333,Q206493
Tarbes,Tarbes,Tarbes,,France,43.232777777778 0.074444444444444,Q184023
Tonnerre,Tonnerre,Tonnerre,,France,47.855277777778 3.9733333333333,Q498854
Touraine,Touraine,Turenna,,France,47.4 0.68333333333333,Q605051
Tours,Tours,Tours,,France,47.392777777778 0.68833333333333,Q288
TrocyEnMultien,Trocy-en-Multien,Trocy-en-Multien,,France,49.043055555556 2.9630555555556,Q976305
Troyes,Troyes,Troyes,,France,48.298888888889 4.0780555555556,Q5489
VerLesChartres,Ver-lès-Chartres,Ver-lès-Chartres,,France,48.385277777778 1.4783333333333,Q1138962
Vernon,Vernon,Vernon,,France,49.091666666667 1.485,Q236736
Versailles,Versailles,Versailles,,France,48.805 2.135,Q621
Vibraye,Vibraye,Vibraye,,France,48.058888888889 0.73583333333333,Q749693
Charlemont,fort de Charlemont,,,France,50.134831362333706 4.811826820600982,Q3078162
SainteBaume,réserve biologique dirigée de Sainte-Baume,,,France,43.32948 5.7609,Q64846473
ValléeDeFecamp,vallée de Fécamp,,,France,,Q23824393
Argos,Argos,Argo,,Grèce,37.63333333333333 22.729166666666668,Q189901
Cadmee,Cadmée,Cadmea,,Grèce,38.31944444 23.31666667,Q1276854
Cholarge,Cholargós,Cholargos,,Grèce,38 23.8,Q1247513
Chios,Chíos,Chio,,Grèce,38.4 26.016666666667,Q160483
Corfou,Corfou,Corfù,,Grèce,39.6 19.87,Q121378
Corinthe,Corinthe,Corinto,,Grèce,37.93861111111111 22.927222222222223,Q103011
Crete,Crète,Creta,,Grèce,35.309722222222 24.893333333333,Q34374
Delphes,Delphes,Delfi,,Grèce,38.483333333333 22.5,Q75459
Lemnos,Lemnos,Lemno,,Grèce,39.916666666667 25.25,Q192483
Leuctres,Leuctres,Leuttra,,Grèce,38.254444444444 23.182222222222,Q2606004
Lindos,Lindos,Lindo,,Grèce,36.091389 28.088056,Q65122097
Mantinee,Mantinée,Mantinea,,Grèce,37.616666666667 22.383333333333,Q1160195
Marathon,Marathon,Maratona,,Grèce,38.155 23.963611111111,Q212150
Milos,Milos,Milo,,Grèce,36.733333333333 24.416666666667,Q203979
Mycenes,Mycènes,Micene,,Grèce,37.730833333333 22.756111111111,Q132564
Paros,Páros,Paro,,Grèce,37.05 25.183333333333,Q201272
Peloponnese ,Péloponnèse,Peloponneso,,Grèce,37.349722222222 22.352222222222,Q78967
Samothrace,Samothrace,Samotracia,,Grèce,40.45 25.5875,Q203175
Samos,Sámos,Samo,,Grèce,37.75 26.8333,Q156882
Thessalie,Thessalie,Tessaglia,,Grèce,39.6 22.2,Q166919
Thasos,Thásos,Taso,,Grèce,40.694166666667 24.661111111111,Q204096
Thebes,Thèbes,Tebe,,Grèce,38.32388889 23.31722222,Q11225429
Elide,district régional d'Élide,Elide,,Grèce,37.66666667 21.5,Q1063649
Athos,mont Athos,Monte Athos,,Grèce,40.15833333333333 24.327222222222222,Q130321
Egine,Égine,Egina,,Grèce,37.73 23.49,Q191082
,Cambay,Khambhat,,Inde,22.313114 72.619408,Q1740527
,Cambay,Khambhat,,Inde,22.313114 72.619408,Q1740527
,Cambay,Khambhat,,Inde,22.313114 72.619408,Q1740527
